iter	Passed	Remaining
0	16	16410
1	29	14869
2	42	14102
3	48	11956
4	53	10661
5	59	9916
6	65	9293
7	71	8872
8	75	8358
9	80	7938
10	84	7577
11	88	7307
12	92	7042
13	96	6811
14	101	6646
15	105	6475
16	109	6333
17	114	6261
18	119	6150
19	123	6031
20	127	5950
21	132	5880
22	136	5795
23	140	5728
24	145	5671
25	150	5622
26	154	5555
27	158	5491
28	163	5476
29	167	5418
30	173	5421
31	177	5372
32	182	5349
33	186	5307
34	191	5269
35	195	5241
36	200	5228
37	205	5214
38	210	5179
39	215	5162
40	219	5126
41	224	5110
42	228	5091
43	232	5060
44	237	5039
45	241	5009
46	247	5008
47	251	4979
48	255	4959
49	259	4935
50	265	4933
51	269	4907
52	273	4886
53	277	4864
54	281	4840
55	286	4837
56	291	4815
57	295	4804
58	299	4781
59	303	4761
60	308	4743
61	312	4724
62	316	4710
63	320	4690
64	324	4671
65	328	4652
66	332	4633
67	337	4622
68	341	4607
69	345	4594
70	349	4577
71	353	4561
72	359	4567
73	367	4598
74	375	4627
75	382	4652
76	390	4681
77	398	4706
78	405	4725
79	413	4751
80	420	4775
81	428	4798
82	436	4817
83	443	4839
84	450	4854
85	458	4870
86	462	4855
87	466	4836
88	470	4818
89	475	4806
90	479	4788
91	483	4775
92	487	4758
93	491	4741
94	496	4731
95	500	4714
96	504	4698
97	508	4683
98	512	4668
99	517	4653
100	521	4637
101	525	4622
102	529	4609
103	533	4594
104	537	4580
105	541	4566
106	545	4551
107	549	4538
108	553	4524
109	557	4513
110	561	4499
111	566	4487
112	570	4479
113	574	4466
114	578	4455
115	583	4444
116	587	4433
117	591	4424
118	596	4416
119	600	4407
120	606	4408
121	611	4397
122	615	4390
123	620	4384
124	625	4377
125	630	4372
126	635	4365
127	640	4361
128	644	4352
129	649	4345
130	654	4344
131	659	4337
132	663	4328
133	668	4318
134	672	4311
135	677	4305
136	681	4295
137	686	4288
138	692	4287
139	696	4278
140	700	4268
141	705	4263
142	710	4256
143	715	4250
144	719	4244
145	723	4234
146	728	4225
147	732	4219
148	738	4219
149	743	4212
150	747	4203
151	751	4194
152	755	4184
153	760	4175
154	764	4166
155	768	4158
156	772	4148
157	776	4139
158	780	4130
159	784	4120
160	789	4116
161	793	4106
162	798	4097
163	802	4089
164	806	4080
165	810	4071
166	814	4062
167	818	4053
168	822	4044
169	826	4035
170	830	4026
171	834	4017
172	838	4009
173	842	4000
174	847	3993
175	851	3984
176	855	3976
177	859	3967
178	863	3959
179	867	3950
180	871	3942
181	875	3935
182	879	3927
183	883	3919
184	887	3911
185	891	3902
186	895	3895
187	900	3887
188	904	3879
189	908	3871
190	912	3864
191	916	3856
192	920	3848
193	924	3841
194	928	3833
195	932	3825
196	937	3819
197	942	3816
198	946	3809
199	950	3801
200	954	3793
201	958	3786
202	962	3778
203	966	3771
204	970	3763
205	974	3756
206	978	3748
207	983	3743
208	987	3736
209	991	3729
210	995	3722
211	999	3716
212	1004	3711
213	1010	3710
214	1014	3704
215	1019	3700
216	1023	3694
217	1028	3689
218	1032	3682
219	1040	3689
220	1049	3698
221	1057	3706
222	1065	3713
223	1074	3721
224	1082	3730
225	1090	3736
226	1098	3742
227	1107	3749
228	1114	3752
229	1119	3747
230	1127	3754
231	1136	3762
232	1144	3767
233	1148	3759
234	1153	3753
235	1158	3749
236	1162	3742
237	1166	3734
238	1178	3751
239	1189	3765
240	1199	3776
241	1208	3783
242	1222	3807
243	1231	3814
244	1236	3809
245	1241	3806
246	1247	3802
247	1253	3800
248	1258	3796
249	1266	3800
250	1274	3803
251	1278	3795
252	1282	3787
253	1287	3781
254	1291	3773
255	1295	3765
256	1300	3759
257	1304	3751
258	1308	3744
259	1312	3736
260	1317	3730
261	1321	3723
262	1325	3715
263	1330	3708
264	1334	3700
265	1338	3694
266	1342	3686
267	1346	3678
268	1351	3673
269	1355	3665
270	1360	3658
271	1364	3651
272	1368	3644
273	1373	3638
274	1377	3630
275	1382	3625
276	1386	3617
277	1390	3610
278	1394	3604
279	1398	3596
280	1403	3590
281	1407	3583
282	1411	3576
283	1416	3571
284	1420	3564
285	1425	3557
286	1429	3550
287	1433	3542
288	1438	3537
289	1442	3530
290	1446	3524
291	1451	3518
292	1455	3511
293	1459	3504
294	1463	3497
295	1468	3491
296	1472	3484
297	1476	3477
298	1481	3472
299	1485	3465
300	1489	3458
301	1493	3451
302	1497	3444
303	1501	3437
304	1505	3430
305	1509	3423
306	1513	3416
307	1517	3409
308	1521	3402
309	1525	3395
310	1529	3389
311	1534	3383
312	1539	3378
313	1544	3373
314	1550	3371
315	1558	3372
316	1565	3373
317	1573	3374
318	1580	3374
319	1588	3375
320	1595	3375
321	1603	3376
322	1610	3376
323	1618	3376
324	1625	3376
325	1633	3377
326	1637	3370
327	1641	3363
328	1646	3357
329	1650	3350
330	1654	3343
331	1658	3336
332	1662	3329
333	1666	3322
334	1670	3316
335	1674	3309
336	1678	3302
337	1684	3299
338	1688	3293
339	1692	3286
340	1697	3279
341	1701	3272
342	1705	3266
343	1710	3261
344	1714	3254
345	1718	3247
346	1722	3242
347	1726	3235
348	1731	3228
349	1735	3222
350	1739	3215
351	1743	3209
352	1748	3204
353	1752	3197
354	1757	3192
355	1761	3186
356	1765	3180
357	1770	3175
358	1775	3170
359	1780	3164
360	1785	3160
361	1790	3155
362	1797	3154
363	1807	3157
364	1814	3156
365	1818	3150
366	1823	3145
367	1828	3139
368	1832	3133
369	1837	3128
370	1842	3123
371	1846	3117
372	1851	3111
373	1856	3107
374	1864	3107
375	1872	3107
376	1876	3101
377	1882	3097
378	1886	3091
379	1891	3085
380	1895	3079
381	1900	3074
382	1904	3068
383	1909	3062
384	1913	3056
385	1917	3050
386	1921	3043
387	1925	3037
388	1929	3030
389	1933	3024
390	1937	3018
391	1942	3012
392	1946	3005
393	1950	2999
394	1954	2993
395	1958	2987
396	1962	2981
397	1966	2975
398	1971	2969
